company_id,category_code,status,country_code,state_code,city,region,valuation_amount,valuation_currency_code,raised_amount,raised_currency_code,public_at,stock_symbol,acquired_at,ipo,is_acquired,is_closed,age,mba_degree,phd_degree,ms_degree,other_degree,offices,average_raised_amount_usd,average_participants,total_rounds
c:79428,software,operating,ZAF,,Cape Town,Cape Town,,,,,,,,False,False,False,2922.0,,,,,1.0,,1.0,1
c:79431,news,acquired,USA,CA,San Francisco,SF Bay,,,,,,,2013-04-13,False,True,False,1341.0,3.0,,4.0,18.0,1.0,4900000.0,4.5,2
c:79435,software,operating,,,,unknown,,,,,,,,False,False,False,1826.0,,,,,,38979.0,1.0,1
c:79437,software,operating,,,,unknown,,,,,,,,False,False,False,1096.0,,,,,,2433172.0,0.0,1
c:79444,public_relations,operating,DEU,,Munich,Munich,,,,,,,,False,False,False,1238.0,,,,,1.0,,2.0,1
c:79446,software,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,610.0,,,,2.0,1.0,1000000.0,3.0,1
c:79456,web,closed,USA,NY,Kenmore,Kenmore,,,,,,,,False,False,True,1037.0,,,,,1.0,8000.0,1.0,1
c:79468,games_video,operating,USA,TX,Houston,Houston,,,,,,,,False,False,False,2525.0,,,,,2.0,4200000.0,0.0,1
c:79475,advertising,acquired,USA,CA,Irvine,Los Angeles,,,,,,,2013-01-02,False,True,False,1096.0,,,,,2.0,275000.0,1.0,2
c:79478,health,operating,,,,unknown,,,,,,,,False,False,False,1402.0,,,,,,,0.0,1
c:79481,web,operating,USA,NY,Syracuse,Syracuse,,,,,,,,False,False,False,,,,,,1.0,5000.0,0.0,1
c:79491,mobile,operating,USA,MA,Boston,Boston,,,,,,,,False,False,False,1096.0,,,2.0,7.0,1.0,,1.0,1
c:79495,network_hosting,operating,CAN,,Toronto,Toronto,,,,,,,,False,False,False,,,,,,1.0,4200000.0,2.0,1
c:79497,medical,operating,USA,CA,Mountain View,SF Bay,,,,,,,,False,False,False,,,,,,1.0,3470147.0,1.0,1
c:79503,software,closed,IND,,Chennai,Chennai,,,,,,,,False,False,True,1279.0,,,,,1.0,,0.0,1
c:79511,real_estate,operating,USA,PA,Philadelphia,Philadelphia,,,,,,,,False,False,False,1006.0,,,1.0,1.0,1.0,14000.0,1.0,1
c:79517,travel,operating,FRA,,Paris( chief town ),Paris,,,,,,,,False,False,False,3653.0,2.0,,2.0,2.0,1.0,10000000.0,3.0,1
c:79518,advertising,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,915.0,1.0,1.0,3.0,14.0,1.0,1000000.0,2.5,2
c:79525,mobile,operating,AUT,,Vienna,Vienna,,,,,,,,False,False,False,1096.0,,,,3.0,1.0,,1.0,1
c:79546,ecommerce,operating,USA,WA,Kirkland,Seattle,,,,,,,,False,False,False,4893.0,,,,,1.0,240000.0,0.0,1
c:79561,medical,operating,,,,unknown,,,,,,,,False,False,False,,,,,,,500000.0,1.0,1
c:79582,software,acquired,ESP,,Barcelona,Barcelona,,,,,,,2013-12-10,False,True,False,1685.0,,,,,3.0,2106600.0,2.0,1
c:79585,web,operating,GBR,,Surrey,London,,,,,,,,False,False,False,3653.0,1.0,,,5.0,1.0,2427800.0,0.0,1
c:79594,music,operating,GBR,LA,london,London,,,,,,,,False,False,False,1096.0,,,1.0,3.0,1.0,2000000.0,0.0,1
c:79598,games_video,operating,CAN,,Toronto,Toronto,,,,,,,,False,False,False,1218.0,,,,1.0,2.0,300000.0,0.0,1
c:79609,analytics,operating,USA,MA,Boston,Boston,,,,,,,,False,False,False,1096.0,1.0,,,9.0,1.0,500000.0,12.0,1
c:79615,consulting,operating,USA,NM,New Brighton,New Brighton,,,,,,,,False,False,False,1826.0,1.0,,,5.0,1.0,1500000.0,1.0,1
c:79645,ecommerce,operating,,,,unknown,,,,,,,,False,False,False,3287.0,,,,,,,1.0,1
c:79646,web,closed,,,,unknown,,,,,,,,False,False,True,1065.0,,,,,,85000.0,1.0,1
c:79659,web,operating,BRA,,S?o Paulo,Sao Paulo,,,,,,,,False,False,False,976.0,,,,5.0,1.0,200000.0,1.0,1
