company_id,category_code,status,country_code,state_code,city,region,valuation_amount,valuation_currency_code,raised_amount,raised_currency_code,public_at,stock_symbol,acquired_at,b_funded_at,b_raised_amount_usd,b_pre_money_valuation_usd,b_post_money_valuation_usd,b_participants,angel_funded_at,angel_raised_amount_usd,angel_pre_money_valuation_usd,angel_post_money_valuation_usd,angel_participants,a_funded_at,a_raised_amount_usd,a_pre_money_valuation_usd,a_post_money_valuation_usd,a_participants,seed_funded_at,seed_raised_amount_usd,seed_pre_money_valuation_usd,seed_post_money_valuation_usd,seed_participants,c_funded_at,c_raised_amount_usd,c_pre_money_valuation_usd,c_post_money_valuation_usd,c_participants,d_funded_at,d_raised_amount_usd,d_pre_money_valuation_usd,d_post_money_valuation_usd,d_participants,unattributed_funded_at,unattributed_raised_amount_usd,unattributed_pre_money_valuation_usd,unattributed_post_money_valuation_usd,unattributed_participants,debt_round_funded_at,debt_round_raised_amount_usd,debt_round_pre_money_valuation_usd,debt_round_post_money_valuation_usd,debt_round_participants,e_funded_at,e_raised_amount_usd,e_pre_money_valuation_usd,e_post_money_valuation_usd,e_participants,f_funded_at,f_raised_amount_usd,f_pre_money_valuation_usd,f_post_money_valuation_usd,f_participants,private_equity_funded_at,private_equity_raised_amount_usd,private_equity_pre_money_valuation_usd,private_equity_post_money_valuation_usd,private_equity_participants,grant_funded_at,grant_raised_amount_usd,grant_pre_money_valuation_usd,grant_post_money_valuation_usd,grant_participants,post_ipo_equity_funded_at,post_ipo_equity_raised_amount_usd,post_ipo_equity_pre_money_valuation_usd,post_ipo_equity_post_money_valuation_usd,post_ipo_equity_participants,post_ipo_debt_funded_at,post_ipo_debt_raised_amount_usd,post_ipo_debt_pre_money_valuation_usd,post_ipo_debt_post_money_valuation_usd,post_ipo_debt_participants,partial_funded_at,partial_raised_amount_usd,partial_pre_money_valuation_usd,partial_post_money_valuation_usd,partial_participants,convertible_funded_at,convertible_raised_amount_usd,convertible_pre_money_valuation_usd,convertible_post_money_valuation_usd,convertible_participants,crowd_funded_at,crowd_raised_amount_usd,crowd_pre_money_valuation_usd,crowd_post_money_valuation_usd,crowd_participants,g_funded_at,g_raised_amount_usd,g_pre_money_valuation_usd,g_post_money_valuation_usd,g_participants,secondary_market_funded_at,secondary_market_raised_amount_usd,secondary_market_pre_money_valuation_usd,secondary_market_post_money_valuation_usd,secondary_market_participants,crowd_equity_funded_at,crowd_equity_raised_amount_usd,crowd_equity_pre_money_valuation_usd,crowd_equity_post_money_valuation_usd,crowd_equity_participants,ipo,is_acquired,is_closed,age,mba_degree,phd_degree,ms_degree,other_degree
c:148,mobile,operating,USA,VA,Fairfax,Washington DC,,,,,,,,2009-08-04,,,,2.0,,,,,,2007-05-24,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-20,10000000.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,2922.0,6,1,2,13
c:156,ecommerce,operating,USA,CA,Mountain View,SF Bay,,,,,,,,2006-10-01,4000000.0,,,3.0,,,,,,2005-02-01,7000000.0,,,3.0,,,,,,2007-07-01,15000000.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,2649.0,6,1,8,32
c:173,web,acquired,USA,CA,Mountain View,SF Bay,,,,,,,2012-06-04,2007-01-01,9000000.0,,,1.0,,,,,,2005-12-01,3500000.0,9000000.0,,2.0,2005-10-01,5000000.0,,,1.0,2008-04-30,25000000.0,,,5.0,2010-12-20,27500000.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,3256.0,4,1,4,22
c:176,social,ipo,USA,CA,Mountain View,SF Bay,9310000000.0,USD,352800000.0,USD,2011-07-20,NYSE:LNKD,,2004-10-01,10000000.0,,,1.0,,,,,,2003-11-01,4700000.0,,,2.0,,,,,,2007-01-29,12800000.0,,,2.0,2008-06-17,53000000.0,,1000000000.0,4.0,2011-10-24,12111439.0,,,0.0,,,,,,2008-10-22,22700000.0,,,4.0,,,,,,2013-05-01,81713488.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,3898.0,20,4,27,117
c:182,medical,operating,USA,CA,San Francisco,SF Bay,,,,,,,,2007-07-01,21000000.0,,,1.0,,,,,,2006-01-01,14000000.0,,,1.0,,,,,,2010-04-26,14000000.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,4383.0,8,1,8,30
c:183,network_hosting,operating,USA,CA,Los Altos,SF Bay,,,,,,,,2008-01-23,6000000.0,,,2.0,,,,,,2006-10-01,1500000.0,,,1.0,,,,,,2010-04-07,15000000.0,,,3.0,2011-10-28,81000000.0,,600000000.0,9.0,2009-10-15,7100000.0,,,2.0,,,,,,2013-01-29,25000000.0,,,4.0,2013-12-05,100000000.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,3287.0,14,1,8,57
c:187,network_hosting,ipo,USA,MA,Boston,Boston,,USD,,,,NASDAQ:CARB,,2007-12-28,5000000.0,,,0.0,,,,,,2006-12-01,3500000.0,,,2.0,,,,,,2008-09-08,20000000.0,,,4.0,2010-01-07,19998900.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,2802.0,7,2,3,28
c:200,web,acquired,USA,CA,San Francisco,SF Bay,,,,,,,2012-09-05,2008-06-20,6000000.0,,,2.0,,,,,,2007-11-01,6000000.0,,,13.0,,,,,,2011-02-01,4000000.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,2406.0,1,1,1,11
c:209,web,operating,USA,CA,Redwood City,SF Bay,,,,,,,,2006-09-01,8000000.0,,,3.0,,,,,,2006-04-25,6000000.0,,,3.0,,,,,,2008-06-01,15000000.0,,,4.0,2012-03-22,15000000.0,,,4.0,2013-11-19,2650000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,3287.0,5,4,6,31
c:221,ecommerce,operating,USA,CA,San Francisco,SF Bay,,,,,,,,,,,,,,,,,,2005-04-01,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,4748.0,3,1,10,26
