company_id,category_code,country_code,state_code,city,region,ipo,is_acquired,is_closed,age,mba_degree,phd_degree,ms_degree,other_degree,offices,average_raised_amount_usd,average_participants,total_rounds,products_number
c:254918,health,USA,TX,DALLAS,Dallas,False,False,False,,,,,,1.0,200000.0,0.0,1,
c:254919,cleantech,USA,CA,Denver,unknown,False,False,False,1826.0,,,,,1.0,3245852.0,0.0,1,
c:254922,biotech,AUS,,Melbourne VIC,Melbourne VIC,False,False,False,,,,,,1.0,30000.0,0.0,1,
c:254924,hardware,USA,WA,Seattle,Seattle,False,False,False,1461.0,,,,,1.0,150000.0,0.0,1,
c:254925,,,,,unknown,False,False,False,,,,,,,400000.0,2.0,1,
c:254926,web,USA,WA,Bellevue,Seattle,False,False,False,1096.0,,,,,1.0,100000.0,0.0,1,
c:254927,software,USA,MI,Auburn Hills,Detroit,False,False,False,1461.0,,,,,1.0,500000.0,0.0,1,
c:254928,travel,GBR,,London,London,False,False,False,1096.0,,,,,1.0,2573200.0,4.0,1,
c:254930,,USA,MA,Marlborough,Boston,False,False,False,,1.0,,1.0,3.0,3.0,9100000.0,2.5,2,1.0
c:254943,nonprofit,USA,MN,Greenfield,unknown,False,False,False,1096.0,,,,,1.0,50000.0,0.0,1,
c:254944,,ISR,,Tel Aviv,Tel Aviv,False,False,False,,,,,,1.0,1525000.0,2.5,2,
c:254961,biotech,USA,CA,San Clemente,Los Angeles,False,False,False,1096.0,,,1.0,1.0,1.0,900000.0,0.0,1,
c:254966,,ISR,,Tel Aviv,Tel Aviv,False,False,False,,,,,,1.0,350000.0,2.0,1,
c:254979,sports,USA,FL,Miami,Miami,False,False,False,731.0,,,,,1.0,1000000.0,2.0,1,
c:254980,other,CAN,,"Vancouver, BC",Vancouver,False,False,False,,,,,,1.0,12000000.0,0.0,1,
c:254983,enterprise,SGP,,Singapore,Singapore,False,False,False,731.0,,,,,1.0,,0.0,1,2.0
c:254991,fashion,,,,unknown,False,False,False,731.0,,,,,,20000.0,1.0,1,
c:255031,education,USA,MA,Cambridge,Boston,False,False,False,731.0,,,,2.0,1.0,,1.0,1,
c:255040,other,,,,unknown,False,False,False,,,,,3.0,,230000.0,1.0,1,
c:255081,software,THA,,"Tungmahamek Sathorn, Bangkok",unknown,False,False,False,,,,,1.0,1.0,,1.0,1,
c:255087,games_video,ISL,,Reykjavik,Reykjavik,False,False,False,214.0,,,,,1.0,16000.0,1.0,1,
c:255089,software,USA,OH,Columbus,Columbus,False,False,False,671.0,,,,1.0,1.0,1100000.0,0.0,1,
c:255092,web,USA,MA,Boston,Boston,False,False,False,214.0,,,,1.0,1.0,400000.0,0.0,1,
c:255094,ecommerce,USA,NY,New York,New York,False,False,False,579.0,1.0,,,2.0,1.0,100000.0,0.0,1,
c:255118,enterprise,USA,CA,San Francisco,SF Bay,False,False,False,184.0,,,,,1.0,,3.0,1,
